Position X,Position Y,mPD
821317.1522,835073.1179,3.84
821333.94,834940.598,3.84
821311.883,834926.212,3.83
821330.259,835049.319,3.83
821306.865,834921.215,3.82
821330.584,835021.545,3.82
821339.056,835007.578,3.81
821324.227,835062.7,3.81
821335.604,835062.229,3.81
821329.756,834952.488,3.8
821325.0336,834938.5812,3.8
821353.907,834963.7,3.78
821318.089,834947.264,3.78
821315.78,834938.021,3.78
821293.5186,835044.2448,3.78
821339.35,834953.57,3.77
821322.628,834950.913,3.77
821330.684,834929.656,3.77
821328.67,834954.546,3.77
821330.557,835078.73,3.77
821346.25,834958.269,3.76
821355.273,834983.129,3.75
821330.598,835012.303,3.75
821325.232,835070.941,3.75
821335.919,834999.479,3.74
821309.074,834935.344,3.74
821329.812,834960.061,3.73
821278.6155,835033.1535,3.73
821304.976,834927.688,3.73
821346.914,834990.546,3.72
821301.189,834923.317,3.72
821291.739,834935.523,3.71
821313.058,834943.212,3.71
821302.414,834934.159,3.69
821319.123,835051.584,3.68
821300.747,834919.926,3.67
821301.36,834931.996,3.67
821337.024,835067.365,3.67
821331.734,835002.06,3.65
821350.561,834975.476,3.65
821323.068,834957.74,3.65
821323.249,834959.159,3.65
821333.396,835071.661,3.64
821335.395,834960.295,3.63
821315.751,834948.875,3.63
821321.804,835046.669,3.61
821319.72,835057.805,3.6
821331.035,835086.816,3.6
821328.524,834963.554,3.59
821345.942,835102.597,3.59
821341.588,834982.943,3.57
821342.718,834967.042,3.57
821328.257,834994.652,3.55
821297.142,834925.593,3.55
821321.845,835004.94,3.55
821248.171,834858.816,3.54
821329.948,834986.677,3.52
821319.606,834954.044,3.52
821284.359,835028.166,3.51
821334.421,834972.375,3.48
821316.51,834967.271,3.48
821316.592,834970.311,3.48
821312.534,835034.834,3.47
821320.682,834960.759,3.46
821330.801,834976.692,3.45
821291.058,835032.127,3.44
821329.383,834974.386,3.42
821318.8,834997.932,3.42
821328.091,834971.304,3.41
821319.024,834969.025,3.4
821317.336,834965.978,3.4
821313.01,835052.81,3.36
821293.8682,835040.4949,3.35
821310.53,834961.444,3.33
821289.637,835019.48,3.31
821300.669,834948.228,3.3
821244.335,834844.379,3.25
821309.62,834951.939,3.24
